cinematographer	0
circle	-
circuit	-
circumference	-
circumstance	-
citizen	+
citizenship	-
citrus	-
city	-
civet	-
civilian	0
cl	-
cladding	-
claim	-
claimant	+
clamour	-
clamshell	-
clap	-
claque	-
clarion	-
clash	-
clasp	0
class	-
classic	-
classicism	-
classification	-
classified	-
classmate	+
classroom	-
clavicle	-
clawback	-
clay	-
cleaner	0
cleanliness	-
cleansing	-
clef	-
clergyman	0
cleric	0
clerk	-
client	+
clientele	+
climate	-
climatologist	-
clinic	-
clinician	+
clink	-
clinton	-
clip-on	-
clock	-
clodhopper	-
clone	+
close	-
closer	-
closing	-
closure	-
clothes	-
clothier	-
clothing	-
cloud	-
cloudburst	-
clout	-
club	-
clubfoot	-
clue	-
co-author	+
co-defendant	+
co-discoverer	+
co-founder	+
co-pilot	+
co-star	+
co-worker	+
coach	+
coaching	-
coagulant	-
coagulation	-
coal	-
coalition	-
coast	+
coastline	-
coat	-
coating	-
cocaine	-
cock	-
coconspirator	+
code	-
codefendant	+
coffee	-
cofounder	+
cognac	-
cohort	+
cohosh	-
coif	-
cold	-
collaborator	+
collapse	-
collar	-
collarbone	-
colleague	+
collection	-
collectivism	-
collector	0
college	-
collegian	+
collie	-
collision	-
cologne	-
colombian	-
colon	-
colonel	0
colonialist	-
coloniser	+
colonist	+
colonization	0
colonizer	+
colony	+
color	-
coloradan	-
coloratura	-
colorist	-
colossus	-
column	-
columnist	+
combat	-
combination	-
comeback	-
comedian	-
comedy	-
comer	0
comfort	-
command	-
commandant	+
commander	+
commando	-
commemorative	-
comment	-
commentary	-
commentator	+
commerce	-
commercial	-
commissar	+
commission	-
commissioner	0
commitment	-
committee	0
committeeman	+
commodity	-
commodore	+
commoner	-
communalism	-
communication	-
communicator	-
communique	-
communist	-
community	-
commuter	-
companion	+
company	-
comparison	-
compartmentalization	-
compatriot	+
compendium	-
compensation	-
competency	-
competition	-
competitor	+
complaint	-
complex	-
compliance	-
component	+
comportment	-
composer	0
compost	-
compound	-
comprehension	-
compromise	-
comptroller	0
compunction	-
computer	-
comrade	+
concentration	-
concept	-
concern	-
concert	0
concession	-
conciliator	+
conclusion	-
concubine	+
condensate	-
condition	-
conduct	-
conductor	+
confab	-
confederate	-
conferee	+
conference	-
confessional	-
confessor	+
confidant	+
confidante	+
confidence	-
confidentiality	-
confirmation	-
conflagration	-
conflict	-
confrontation	-
confusion	-
conglomerate	+
congratulation	-
congregant	+
congress	-
congressman	0
congresswoman	+
connection	-
connectivity	-
conniption	-
connivance	-
connoisseur	+
conquering	-
conqueror	+
conscript	-
consensus	-
consequence	+
conservation	-
conservative	-
conservator	0
consideration	-
consignor	+
consort	+
consortium	+
conspiracy	-
conspirator	0
constable	-
constantine	-
constellation	-
constituency	+
constituent	+
constitution	+
construction	-
consul	+
consulate	+
consultant	+
consultation	-
consumer	0
consumption	-
contact	0
container	-
containment	-
contemporary	+
contender	0
content	0
contention	-
contest	-
contestant	+
context	-
contiguity	-
continent	-
contortion	-
contra	-
contraceptive	-
contract	-
contracting	-
contractor	0
contradiction	-
contrast	-
contribution	-
contributor	+
control	-
controversy	-
convalescent	-
convener	+
convention	-
conventionality	-
conventioneer	-
conversation	-
conversationalist	-
convert	0
conveyor	0
convict	0
conviction	-
convoy	-
cookie	-
cooking	-
coolant	-
coolness	-
cooper	-
cooperation	-
coordination	-
coordinator	+
copepod	-
copilot	+
copper	-
copra	-
copy	-
copywriter	0
coquette	-
core	+
corn	-
corner	+
cornerback	+
cornet	-
cornflower	-
corp	0
corporal	+
corporation	-
corpus	-
correlation	-
correspondent	+
corridor	-
corruption	-
cosmetologist	0
cosmonaut	-
cosmos	-
cost	-
cot	-
cottage	-
cotton	-
cougar	-
cough	-
council	0
councillor	+
councilman	0
councilwoman	0
counsel	0
counseling	-
counselling	-
counsellor	+
counselor	0
count	-
countdown	-
counter	-
counterfeiter	-
counterman	+
counterpart	+
counterspy	0
country	-
countryman	+
countrywoman	-
county	+
coup	-
couple	0
coupon	-
courage	-
courier	-
course	-
coursing	-
court	-
courtier	+
courtroom	-
courtyard	0
cousin	+
cover	-
coverage	-
cow	-
coward	-
cowpuncher	-
cox	-
coyness	-
crabgrass	-
crack	-
crackdown	-
crackling	-
craft	-
craftsman	-
crash	-
crasher	0
crawlspace	-
crazy	-
creak	-
cream	-
creation	-
creator	+
credibility	-
credit	-
creditor	+
crew	0
crewman	+
crick	-
cricket	-
cricketer	-
crime	-
criminal	-
criminologist	-
crinoline	-
crisis	-
criterion	-
critic	+
criticism	-
critique	+
croatian	-
crocodile	-
crony	+
crooner	-
crooning	-
crop	-
cross	-
crow	-
crowbar	-
crowd	-
crowding	-
crown	-
crude	-
cruet	-
cruise	-
cry	-
cryptanalysis	-
cryptographer	0
cub	-
cuckold	+
cue	-
cuff	-
culprit	+
cult	-
culture	-
cup	-
cupboard	-
curator	+
curb	-
cure	+
curfew	-
curie	-
curmudgeon	-
currant	-
currency	-
curtain	-
custard	-
custodian	0
custody	-
custom	-
customer	+
cut	-
cut-and-thrust	-
cuteness	-
cyber-terrorism	-
cybercafe	-
cyberpunk	-
cycle	-
cyclist	-
cyclooxygenase	-
cynic	-
cypress	-
cypriot	+
czar	+
czarina	+
da	-
dachshund	-
dacoit	-
dacron	-
dad	+
dada	+
daddy	+
daiquiri	-
dairy	-
dalmatian	-
dam	-
damage	-
damages	-
dame	0
dance	-
dancer	-
dander	-
dane	-
danger	-
dangerousness	-
darjeeling	-
darling	0
darning	-
date	0
dateline	-
datum	-
daughter	+
daughter-in-law	+
dawdler	-
dawn	-
day	-
daydream	-
daytime	-
dd	-
ddc	-
de	-
deacon	0
deadbeat	-
deadline	+
deal	-
dealer	0
dean	+
dearest	+
death	-
debasement	-
debate	-
debris	-
debt	-
debut	-
debutante	-
decade	-
decal	-
decedent	0
deception	-
decision	-
decisiveness	-
deck	-
deckhand	+
declaration	-
declassification	-
decline	-
decoding	-
decolletage	-
decontamination	-
decorator	-
decree	-
deep-freeze	-
defaulter	-
defeat	-
defector	+
defence	-
defendant	+
defender	+
defense	-
defenseman	+
defibrillation	-
deficit	-
definition	-
degree	-
delay	0
delegate	+
delegation	-
delirium	-
delivery	-
dell	-
demagogue	0
demand	-
dementia	-
demimonde	-
democracy	-
democrat	-
demographer	-
demolition	-
demon	-
demonstration	-
demonstrator	+
demoralization	-
den	-
denizen	+
dentist	0
department	+
departure	-
dependent	+
depiction	+
deployment	-
deportee	+
deportment	-
deposit	-
depositor	+
depression	-
depth	-
deputy	0
deregulation	-
derivative	-
dermatologist	-
dervish	-
descendant	+
description	-
descriptor	-
desensitization	-
desert	-
deserter	+
design	-
designer	0
desire	-
desk	-
despot	0
destination	-
destiny	-
destruction	-
detachment	-
detail	-
detainee	+
detective	0
detention	-
determinant	0
determination	-
deterrent	+
detoxification	-
detractor	+
detritus	-
deuterium	-
developer	0
development	-
deviation	-
device	-
devil	-
devotee	+
diabetic	-
diagnostician	-
dialogue	-
diamond	-
diatribe	-
dichotomy	-
dickens	-
dictator	+
diet	-
dietitian	-
difference	-
differentiator	-
difficulty	-
digestion	-
dignitary	-
dill	-
dime	-
dingbat	-
dining	-
dinner	-
diplomacy	-
diplomat	+
direction	-
director	+
directorship	-
disagreement	-
disappointment	-
disarmament	-
disaster	-
disc	-
disciple	+
discipline	-
disclosure	-
discordance	-
discount	-
discovery	-
discrimination	-
discus	-
discussion	-
disease	-
dish	-
dishrag	-
disillusion	-
disinfectant	-
disintegration	-
disinterest	-
disk	-
disorder	-
disorganisation	-
dispatcher	+
display	-
disposable	-
disproportion	-
disputant	+
dispute	-
disqualification	-
disquisition	-
disseminator	+
dissenter	+
dissidence	-
dissident	+
distance	-
distiller	-
distress	-
distribution	-
distributor	0
district	+
ditty	-
diva	-
divergence	-
dividend	+
divine	-
division	-
divorce	-
divorcee	+
dj	-
dna	-
do	-
do-gooder	-
doc	-
docker	-
docket	-
docking	-
dockworker	-
doctor	0
doctorate	-
document	-
documentary	-
dog	-
dogma	-
dollar	-
dolmen	-
domestic	-
dominican	-
don	-
donation	0
dong	-
donor	+
doom	-
doomsday	-
door	-
doorman	-
doorpost	-
doorstep	-
dorado	-
dorm	-
dormitory	-
dose	-
double-double	-
doubt	-
doubter	+
dove	-
downing	-
downsizing	-
downtown	0
dozen	-
dp	-
draft	0
draftee	+
draftsmanship	-
dragonfly	-
drainage	-
drainpipe	-
drake	-
drama	-
dramamine	-
dramatist	-
dramaturgy	-
draper	-
draw	-
drawbridge	-
drawing	-
dream	-
dress	-
drib	-
dribbling	-
drifter	-
drilling	-
drink	-
drinker	-
drinking	-
drive	-
driver	+
drone	-
drop	-
dropper	-
drought	-
drug	-
drum	-
drummer	+
duchess	+
duck	-
duckling	-
dud	-
dude	-
duffle	-
duke	+
dumper	0
dunderhead	-
dune	-
durian	-
dust	-
dutchman	-
duty	-
dvd	-
dweller	+
dye	-
dyke	-
dynamite	-
dystopia	-
e-commerce	-
e-mail	-
ear	-
earner	-
earnings	-
earth	-
earthenware	-
earthling	-
earthquake	-
earthwork	-
ease	-
easiness	-
easing	-
easterner	-
eater	-
eatery	-
eccentric	-
ecologist	-
economics	+
economist	0
economy	-
ecstasy	-
ecuadorian	-
edge	+
edict	-
edification	-
edifice	-
edition	+
editor	+
editorial	-
education	-
educationist	-
educator	+
effect	0
efficiency	-
effigy	+
effort	-
effrontery	-
egg	-
eggnog	-
eighty	-
elan	-
elbowing	-
elder	+
election	-
elector	0
electorate	+
electrician	-
electricity	-
electrification	-
electromagnetism	-
electron	-
electronics	-
element	0
eligibility	-
eliminator	0
elite	-
ellipsis	-
elusiveness	-
emaciation	-
embargo	+
embassy	+
ember	-
embodiment	-
embryo	-
embryologist	-
emcee	0
emergency	-
emeritus	+
emigrant	+
emigre	0
eminence	-
emir	+
emissary	+
emission	-
emotion	-
emperor	+
emphasis	-
empire	-
employee	+
employer	+
employment	-
emporium	-
empress	+
emptor	-
emulator	-
encephalopathy	-
enclave	+
encomium	-
encounter	-
encouragement	-
end	+
endeavour	-
endorsement	+
enema	-
enemy	+
energy	-
enforcement	-
enforcer	+
engine	-
engineer	0
engineering	-
enmity	-
enrollee	+
enrolment	-
enterprise	-
entertainment	-
enthusiasm	-
enthusiast	0
entity	-
entomologist	-
entrance	+
entranceway	+
entrant	+
entrapment	-
entrepreneur	-
entry	-
entryway	-
environment	-
environmentalist	-
environs	+
envoy	0
epaulet	-
ephedrine	-
ephemera	-
epicenter	0
epicentre	+
epidemiologist	-
epidemiology	-
epigram	-
epilepsy	-
epinephrine	-
episode	-
epithelium	-
epitome	+
eq	-
equal	-
equalization	-
equipment	-
equity	-
equivalent	+
era	-
ergonomics	-
erotica	-
error	-
escalation	-
escapade	-
escapee	+
escort	+
escrow	-
eskimo	-
essayist	-
establishment	-
estate	+
estimate	+
etching	-
ethanol	-
ether	-
ethic	-
ethicist	-
ethnocentrism	-
ethyl	-
eulogist	0
euro	-
euro1	-
europe	-
european	-
ev	-
evacuation	-
evacuee	-
evaluator	+
evangelist	+
eve	+
evening	-
event	-
evidence	+
evildoer	-
evocation	-
evolutionist	-
ex-boyfriend	+
ex-husband	+
ex-president	+
ex-wife	+
exaggeration	-
examination	-
example	+
exception	-
excess	-
exchange	-
excursion	-
excuse	-
exec	+
execution	-
executioner	0
executive	+
executor	+
exercise	-
exertion	-
exfoliation	-
exhibit	-
exhibition	-
exhibitor	-
exile	-
existence	-
exit	+
exodus	-
expanse	+
expansion	-
expansiveness	-
expatriate	-
expectation	-
expense	-
experience	-
experiment	-
experimentalism	-
experimenter	-
expert	+
explanation	+
explication	-
exploration	-
explorer	+
explosion	-
explosive	-
exponent	+
export	-
exporter	+
exposure	-
expression	-
extension	0
extensor	-
extent	-
exterminator	-
extinguishing	-
extortionist	-
extra	-
extraction	-
extradition	-
extremist	-
extremity	+
exultation	-
eye	0
eyeball	-
eyelet	-
eyesore	-
eyetooth	-
eyewitness	+
fabric	-
fabricator	+
face	0
facilitator	+
facility	-
fact	-
faction	+
factor	+
factory	0
fadeout	-
faggot	-
faille	-
failure	-
fairy	-
faith	-
fake	-
fall	-
faller	-
fallout	-
falsification	-
family	0
fan	+
fanatic	-
fantasist	-
farce	-
fare	-
fare-thee-well	-
farewell	-
farm	-
farmer	-
farming	-
fascia	-
fascist	-
fashion	-
fat	-
fate	-
father	+
father-in-law	+
fatherland	+
fatigue	-
fault	-
favor	-
favorite	+
favoritism	-
favourite	+
fax	-
fear	-
feasibility	-
feature	0
feb	-
federalism	-
federalist	-
federation	+
fee	-
feed	-
feeding	-
feeling	-
fella	-
fellow	0
fellowship	0
felon	-
fen	-
fence	-
fermion	-
ferry	-
festival	-
festoon	-
feud	-
fever	-
fiance	+
fiancee	+
fibre	-
fibroblast	-
fibrosis	-
fiddler	0
fiduciary	0
field	-
fielder	-
fiend	-
fife	-
fifth	+
fight	-
fighter	-
fighting	-
figment	-
figure	-
figurehead	+
file	-
filet	-
filing	-
fill-in	+
film	-
filmmaker	-
final	+
finale	+
finalist	+
finance	-
finances	-
financier	0
financing	-
finding	-
fine	-
finery	-
finger	-
fingerprinting	-
fingertip	-
finish	-
finn	-
fire	-
fireball	-
firefighter	-
fireplace	-
firepower	-
firing	-
firm	-
firstborn	+
fisa	-
fish	-
fisherman	-
fishing	-
fishnet	-
fission	-
fitness	-
five-hitter	-
fix	-
fixer	-
fixture	-
fjord	+
fl	-
flag	-
flame	-
flange	-
flanker	0
flare	-
flat	-
flatness	-
flavor	-
fleet	-
flesh	-
flex	-
flight	-
flint	-
flipper	-
flogging	-
flood	-
floodgate	-
flooding	-
floor	-
flophouse	-
floret	-
flour	-
flow	-
flower	-
flu	-
fluid	-
flunky	-
fluorite	-
flutter	-
flyer	-
flyweight	-
fm	-
fo	-
focus	-
foe	+
fogey	-
foil	-
folk	-
follower	+
fomenter	-
font	-
food	-
foodstuff	-
foot	0
footage	+
football	-
footballer	-
foothill	-
footing	-
footrace	-
forbear	-
force	-
forebear	+
forebrain	-
forecast	-
forecaster	-
foredeck	+
forefather	+
forefront	+
forehand	-
forehead	-
foreigner	+
foreleg	-
foreman	+
foreplay	-
forerunner	+
foreshore	-
foreskin	-
forest	-
forester	-
forewoman	+
forger	+
forget-me-not	-
forgiveness	-
forklift	-
form	-
formalization	-
format	-
formation	-
formula	-
formulation	-
forte	-
forthrightness	-
fortune	-
fortuneteller	-
forum	-
forward	-
foster	-
foul-up	-
foundation	0
founder	+
fox	-
foxhound	-
foyer	+
fractal	-
frame	-
framer	-
framework	+
franc	-
franchise	-
frank	-
frankfurt	-
frankness	-
frat	-
fraud	-
fray	-
freak	-
freedom	-
freelancer	-
freemason	-
freeware	-
frenchman	+
frenchwoman	-
frequency	-
freshman	0
friar	-
friend	+
friendship	-
fries	-
front	+
front-runner	+
frontbencher	+
frontispiece	+
fructose	-
fruit	-
frustration	-
fudge	-
fuel	-
fugitive	0
fullback	+
fun	-
function	-
functionalism	-
functionary	-
fund	-
funder	+
funding	-
fundraiser	0
funeral	-
funicular	-
furnace	-
furniture	-
fuss	-
future	-
g-string	-
gab	-
gabardine	-
gain	-
gainer	-
gala	-
gallery	-
gallon	-
gallows	-
gambler	-
game	-
gamin	-
gang	-
ganglion	-
gangsta	-
ganja	-
gap	-
garbage	-
garbageman	-
garden	-
gardener	-
garment	-
gas	-
gasohol	-
gasoline	-
gastroenterologist	-
gate	-
gatekeeper	-
gateway	-
gatherer	0
gathering	-
gaucho	-
gauze	-
gayness	-
gazillion	-
gdp	-
gear	-
gearshift	-
geisha	-
gelatine	-
gender	-
gene	-
general	0
generalist	-
generation	-
geneticist	-
genie	-
genitals	-
genocide	-
gent	-
gentleman	-
geologist	-
geomancy	-
georgian	-
german	-
germanium	-
gesture	-
ghost	-
ghrelin	-
giant	-
giblets	-
gift	-
gigantism	-
gilding	-
gilt	-
gimlet	-
ginger	-
gingersnap	-
girder	-
girl	-
girlfriend	+
gist	-
giver	+
glass	-
glasshouse	-
glimpse	-
globetrotter	-
globule	-
glomerulus	-
gloucestershire	-
glove	-
glower	-
glucocorticoid	-
glucoside	-
glut	-
